Orario;Irraggiamento;Energia;Count;Basso;Medio;Alto;Molto alto
mattina;alto;alto;2;0;0;740740741;0
mattina;basso;basso;18;9;0;0;0
mattina;molto alto;medio;2;0;833333333;0;0
mattina;basso;medio;2;0;1;0;0
mattina;alto;medio;4;0;1481481481;0;0
mattina;alto;basso;21;7777777778;0;0;0
mattina;medio;medio;4;0;1025641026;0;0
mattina;molto alto;molto alto;1;0;0;0;416666667
mattina;molto alto;alto;2;0;0;833333333;0
mattina;molto alto;basso;19;7916666667;0;0;0
mattina;medio;alto;4;0;0;1025641026;0
mattina;medio;basso;31;7948717949;0;0;0
notte;basso;basso;110;1;0;0;0
pome;basso;basso;13;1;0;0;0
pome;alto;basso;24;8275862069;0;0;0
pome;medio;medio;2;0;869565217;0;0
pome;alto;alto;1;0;0;344827586;0
pome;medio;basso;21;9130434783;0;0;0
pome;molto alto;alto;2;0;0;444444444;0
pome;molto alto;basso;38;8444444444;0;0;0
pome;alto;medio;4;0;1379310345;0;0
pome;molto alto;medio;5;0;1111111111;0;0
prima mattina;basso;basso;66;1;0;0;0
sera;basso;basso;115;9829059829;0;0;0
sera;medio;basso;15;1;0;0;0
sera;basso;medio;2;0;170940171;0;0
