Orario;Irraggiamento;Luminosità;Count;Molto bassa;Bassa;Media;Alta
mattina;basso;bassa;29;0;6363636364;0;0
mattina;molto alto;alta;3;0;0;0;967741935
mattina;medio;bassa;42;0;5384615385;0;0
mattina;medio;alta;8;0;0;0;1025641026
mattina;alto;alta;6;0;0;0;1052631579
mattina;medio;media;28;0;0;358974359;0
mattina;basso;media;9;0;0;2045454545;0
mattina;basso;molto bassa;6;1363636364;0;0;0
mattina;alto;bassa;32;0;5614035088;0;0
mattina;alto;media;19;0;0;3333333333;0
mattina;molto alto;media;11;0;0;3548387097;0
mattina;molto alto;bassa;17;0;5483870968;0;0
notte;basso;molto bassa;207;1;0;0;0
pome;alto;molto bassa;2;357142857;0;0;0
pome;medio;alta;5;0;0;0;862068966
pome;medio;molto bassa;1;172413793;0;0;0
pome;alto;media;6;0;0;1071428571;0
pome;basso;bassa;16;0;7272727273;0;0
pome;basso;media;3;0;0;1363636364;0
pome;molto alto;bassa;59;0;7866666667;0;0
pome;basso;molto bassa;3;1363636364;0;0;0
pome;medio;media;20;0;0;3448275862;0
pome;medio;bassa;32;0;5517241379;0;0
pome;alto;alta;5;0;0;0;892857143
pome;molto alto;media;14;0;0;1891891892;0
pome;molto alto;alta;1;0;0;0;135135135
pome;alto;bassa;43;0;7678571429;0;0
prima mattina;basso;molto bassa;101;8015873016;0;0;0
prima mattina;basso;bassa;25;0;1984126984;0;0
sera;medio;bassa;19;0;7037037037;0;0
sera;basso;bassa;23;0;1022222222;0;0
sera;medio;molto bassa;8;2962962963;0;0;0
sera;basso;molto bassa;202;8977777778;0;0;0
